feature_code,reference_area,year,smoker_ratio
S92000003,Scotland,2002,25.83
S92000003,Scotland,2003,25.39
S92000003,Scotland,2004,24.86
S92000003,Scotland,2005,23.86
S92000003,Scotland,2006,22.67
S92000003,Scotland,2007,21.68
S92000003,Scotland,2008,20.53
S92000003,Scotland,2009,19.34
S92000003,Scotland,2010,18.69
S92000003,Scotland,2011,18.72
S92000003,Scotland,2012,19.12
S92000003,Scotland,2013,19.01
S92000003,Scotland,2014,18.47
S92000003,Scotland,2015,17.77
S92000003,Scotland,2016,16.78
S92000003,Scotland,2017,15.88
S92000003,Scotland,2018,14.9
S92000003,Scotland,2019,14.4
S12000033,Aberdeen City,2002,24.21
S12000033,Aberdeen City,2003,25.1
S12000033,Aberdeen City,2004,26.64
S12000033,Aberdeen City,2005,26.47
S12000033,Aberdeen City,2006,25.98
S12000033,Aberdeen City,2007,23.42
S12000033,Aberdeen City,2008,22.86
S12000033,Aberdeen City,2009,20.79
S12000033,Aberdeen City,2010,19.87
S12000033,Aberdeen City,2011,17.48
S12000033,Aberdeen City,2012,16.15
S12000033,Aberdeen City,2013,15.01
S12000033,Aberdeen City,2014,14.59
S12000033,Aberdeen City,2015,14.09
S12000033,Aberdeen City,2016,13.74
S12000033,Aberdeen City,2017,13.96
S12000033,Aberdeen City,2018,13.95
S12000033,Aberdeen City,2019,13.7
S12000034,Aberdeenshire,2002,19.07
S12000034,Aberdeenshire,2003,19.73
S12000034,Aberdeenshire,2004,20.01
S12000034,Aberdeenshire,2005,19.68
S12000034,Aberdeenshire,2006,18.27
S12000034,Aberdeenshire,2007,17.69
S12000034,Aberdeenshire,2008,17.86
S12000034,Aberdeenshire,2009,17.26
S12000034,Aberdeenshire,2010,15.9
S12000034,Aberdeenshire,2011,14.54
S12000034,Aberdeenshire,2012,13.6
S12000034,Aberdeenshire,2013,13.41
S12000034,Aberdeenshire,2014,13.15
S12000034,Aberdeenshire,2015,13.03
S12000034,Aberdeenshire,2016,12.13
S12000034,Aberdeenshire,2017,11.61
S12000034,Aberdeenshire,2018,11.1
S12000034,Aberdeenshire,2019,11.11
S12000041,Angus,2002,29.31
S12000041,Angus,2003,28.6
S12000041,Angus,2004,27.78
S12000041,Angus,2005,25.58
S12000041,Angus,2006,23.77
S12000041,Angus,2007,21.96
S12000041,Angus,2008,22.06
S12000041,Angus,2009,23.36
S12000041,Angus,2010,24.65
S12000041,Angus,2011,24.46
