feature_code,weight_ratio,year,la_name
S12000040,1.95,2015,West Lothian
S12000042,2.3,2014,Dundee City
S12000040,2.46,2014,West Lothian
S12000042,2.47,2015,Dundee City
S12000045,1.52,2015,East Dunbartonshire
S12000026,1.92,2014,Scottish Borders
S12000021,2.1,2014,North Ayrshire
S12000023,1.54,2015,Orkney Islands
S12000023,0.92,2014,Orkney Islands
S12000041,1.45,2015,Angus
S12000041,1.78,2014,Angus
S12000021,2.13,2015,North Ayrshire
S12000039,2.06,2015,West Dunbartonshire
S12000036,1.51,2015,City of Edinburgh
S12000039,2.02,2014,West Dunbartonshire
S12000038,2.59,2015,Renfrewshire
S12000038,2.65,2014,Renfrewshire
S12000035,1.89,2015,Argyll and Bute
S12000035,1.7,2014,Argyll and Bute
S12000045,1.5,2014,East Dunbartonshire
S12000034,1.45,2014,Aberdeenshire
S12000034,1.55,2015,Aberdeenshire
S12000036,1.72,2014,City of Edinburgh
S12000028,1.96,2014,South Ayrshire
S12000029,1.82,2014,South Lanarkshire
S12000028,1.73,2015,South Ayrshire
S12000020,1.73,2014,Moray
S12000019,1.88,2015,Midlothian
S12000029,1.87,2015,South Lanarkshire
S12000030,1.78,2014,Stirling
S12000018,2.6,2015,Inverclyde
S12000019,2.08,2014,Midlothian
S12000020,1.58,2015,Moray
S12000026,1.69,2015,Scottish Borders
S12000027,0.98,2015,Shetland Islands
S12000027,1.42,2014,Shetland Islands
S12000030,1.66,2015,Stirling
S12000033,1.85,2015,Aberdeen City
S12000033,1.72,2014,Aberdeen City
S12000008,2.03,2014,East Ayrshire
S12000010,1.73,2014,East Lothian
S12000008,1.67,2015,East Ayrshire
S12000006,1.9,2015,Dumfries and Galloway
S12000006,1.73,2014,Dumfries and Galloway
S12000014,2.44,2015,Falkirk
S12000005,2.83,2014,Clackmannanshire
S12000018,3.14,2014,Inverclyde
S12000014,2.53,2014,Falkirk
S12000005,3.03,2015,Clackmannanshire
S12000013,1.44,2015,Na h-Eileanan Siar
S12000010,1.43,2015,East Lothian
S12000013,1.63,2014,Na h-Eileanan Siar
S12000011,1.81,2015,East Renfrewshire
S12000017,1.45,2015,Highland
S12000017,1.35,2014,Highland
S12000011,1.73,2014,East Renfrewshire
S12000026,1.82,2012,Scottish Borders
S12000026,2.49,2010,Scottish Borders
S12000026,2.28,2008,Scottish Borders
S12000026,2.28,2011,Scottish Borders
S12000026,2.6,2009,Scottish Borders
S12000027,1.26,2004,Shetland Islands
S12000026,2.08,2002,Scottish Borders
S12000027,0.95,2006,Shetland Islands
S12000027,0.95,2005,Shetland Islands
S12000026,2.22,2003,Scottish Borders
S12000023,0.91,2013,Orkney Islands
S12000023,1.13,2012,Orkney Islands
S12000026,2.32,2007,Scottish Borders
S12000026,1.85,2013,Scottish Borders
S12000026,2.34,2005,Scottish Borders
S12000026,2.28,2004,Scottish Borders
S12000027,1.28,2003,Shetland Islands
S12000026,2.44,2006,Scottish Borders
S12000023,1.12,2011,Orkney Islands
S12000023,0.54,2009,Orkney Islands
S12000027,0.91,2008,Shetland Islands
S12000027,1.47,2002,Shetland Islands
S12000023,0.93,2010,Orkney Islands
S12000027,1.05,2007,Shetland Islands
S12000042,2.62,2010,Dundee City
S12000018,2.55,2005,Inverclyde
S12000030,1.43,2004,Stirling
S12000014,2.37,2002,Falkirk
S12000030,1.72,2005,Stirling
S12000018,2.69,2004,Inverclyde
S12000018,2.71,2003,Inverclyde
S12000018,2.48,2002,Inverclyde
S12000030,2,2006,Stirling
S12000042,2.49,2009,Dundee City
S12000017,1.57,2013,Highland
S12000033,2.23,2009,Aberdeen City
S12000014,2.24,2003,Falkirk
S12000014,2.32,2005,Falkirk
S12000041,1.57,2012,Angus
S12000033,2.43,2008,Aberdeen City
S12000041,1.32,2011,Angus
S12000014,2.47,2004,Falkirk
S12000033,2.29,2010,Aberdeen City
S12000013,1.08,2013,Na h-Eileanan Siar
S12000030,1.97,2011,Stirling
S12000042,2.47,2006,Dundee City
S12000042,2.36,2005,Dundee City
S12000030,1.74,2012,Stirling
S12000017,1.95,2007,Highland
S12000017,2.21,2006,Highland
S12000017,2.31,2004,Highland
S12000017,2.17,2011,Highland
S12000030,1.98,2008,Stirling
S12000030,1.82,2013,Stirling
S12000017,2.52,2005,Highland
S12000018,2.36,2010,Inverclyde
S12000029,1.83,2013,South Lanarkshire
S12000030,1.73,2002,Stirling
S12000018,2.59,2009,Inverclyde
S12000018,3.13,2008,Inverclyde
S12000042,2.45,2012,Dundee City
S12000030,1.57,2003,Stirling
S12000042,2.37,2011,Dundee City
S12000018,2.83,2007,Inverclyde
S12000018,2.79,2006,Inverclyde
S12000042,3.09,2002,Dundee City
S12000014,2.36,2008,Falkirk
S12000014,2.04,2009,Falkirk
S12000045,1.74,2010,East Dunbartonshire
S12000033,2.48,2007,Aberdeen City
S12000014,2.5,2007,Falkirk
S12000014,2.78,2006,Falkirk
S12000033,2.47,2005,Aberdeen City
S12000033,2.44,2004,Aberdeen City
S12000028,1.82,2012,South Ayrshire
S12000020,2.43,2008,Moray
S12000020,2.19,2007,Moray
S12000020,1.38,2010,Moray
S12000028,1.86,2009,South Ayrshire
S12000020,1.55,2012,Moray
S12000020,1.27,2011,Moray
S12000045,1.88,2011,East Dunbartonshire
S12000013,1.22,2010,Na h-Eileanan Siar
S12000013,0.64,2012,Na h-Eileanan Siar
S12000013,1.13,2011,Na h-Eileanan Siar
S12000041,1.68,2009,Angus
