feature_code,reference_area,year,ratio,age_band
S92000003,Scotland,2002,9.37,over 35
S92000003,Scotland,2003,10.14,over 35
S92000003,Scotland,2004,10.89,over 35
S92000003,Scotland,2005,11.6,over 35
S92000003,Scotland,2006,12.21,over 35
S92000003,Scotland,2007,12.81,over 35
S92000003,Scotland,2008,13.06,over 35
S92000003,Scotland,2009,13.08,over 35
S92000003,Scotland,2010,13.17,over 35
S92000003,Scotland,2011,13.07,over 35
S92000003,Scotland,2012,13.17,over 35
S92000003,Scotland,2013,12.88,over 35
S92000003,Scotland,2014,13.05,over 35
S92000003,Scotland,2015,13.28,over 35
S92000003,Scotland,2016,13.82,over 35
S92000003,Scotland,2017,14.17,over 35
S92000003,Scotland,2018,14.68,over 35
S92000003,Scotland,2019,14.95,over 35
S12000033,Aberdeen City,2002,9.69,over 35
S12000033,Aberdeen City,2003,10.8,over 35
S12000033,Aberdeen City,2004,11.08,over 35
S12000033,Aberdeen City,2005,11.46,over 35
S12000033,Aberdeen City,2006,11.44,over 35
S12000033,Aberdeen City,2007,11.66,over 35
S12000033,Aberdeen City,2008,11.49,over 35
S12000033,Aberdeen City,2009,11.24,over 35
S12000033,Aberdeen City,2010,11.83,over 35
S12000033,Aberdeen City,2011,12.23,over 35
S12000033,Aberdeen City,2012,13.24,over 35
S12000033,Aberdeen City,2013,13.07,over 35
S12000033,Aberdeen City,2014,13.62,over 35
S12000033,Aberdeen City,2015,13.49,over 35
S12000033,Aberdeen City,2016,14.78,over 35
S12000033,Aberdeen City,2017,15.07,over 35
S12000033,Aberdeen City,2018,15.69,over 35
S12000033,Aberdeen City,2019,15.84,over 35
S12000034,Aberdeenshire,2002,9.55,over 35
S12000034,Aberdeenshire,2003,10.13,over 35
S12000034,Aberdeenshire,2004,11.27,over 35
S12000034,Aberdeenshire,2005,12.2,over 35
S12000034,Aberdeenshire,2006,13.01,over 35
S12000034,Aberdeenshire,2007,13.45,over 35
S12000034,Aberdeenshire,2008,13.65,over 35
S12000034,Aberdeenshire,2009,14.11,over 35
S12000034,Aberdeenshire,2010,14.39,over 35
S12000034,Aberdeenshire,2011,14.55,over 35
S12000034,Aberdeenshire,2012,13.88,over 35
S12000034,Aberdeenshire,2013,12.93,over 35
S12000034,Aberdeenshire,2014,13.02,over 35
S12000034,Aberdeenshire,2015,13.68,over 35
S12000034,Aberdeenshire,2016,14.61,over 35
S12000034,Aberdeenshire,2017,13.24,over 35
S12000034,Aberdeenshire,2018,12.83,over 35
S12000034,Aberdeenshire,2019,12.85,over 35
S12000041,Angus,2002,7.19,over 35
S12000041,Angus,2003,8.26,over 35
S12000041,Angus,2004,8.98,over 35
S12000041,Angus,2005,11.76,over 35
S12000041,Angus,2006,13.84,over 35
S12000041,Angus,2007,15.15,over 35
S12000041,Angus,2008,13.73,over 35
S12000041,Angus,2009,12.54,over 35
S12000041,Angus,2010,10.23,over 35
S12000041,Angus,2011,11.13,over 35
S12000041,Angus,2012,10.38,over 35
S12000041,Angus,2013,11.32,over 35
S12000041,Angus,2014,10.1,over 35
S12000041,Angus,2015,11.1,over 35
S12000041,Angus,2016,10.83,over 35
S12000041,Angus,2017,11.18,over 35
