feature_code,date_code,measurement,units,value,smoking_status,sex,hb_name
S92000003,2016-2019,Percent,Percent Of Adults,19,Current smoker,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,20,Current smoker,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,60,Never smoked/Used to smoke occasionally,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,59,Never smoked/Used to smoke occasionally,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,17,Current smoker,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,18,Current smoker,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,56,Never smoked/Used to smoke occasionally,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,58,Never smoked/Used to smoke occasionally,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,21,Current smoker,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,55,Never smoked/Used to smoke occasionally,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,53,Never smoked/Used to smoke occasionally,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,20,Current smoker,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,25,Used to smoke regularly,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,25,Used to smoke regularly,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,23,Used to smoke regularly,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,23,Used to smoke regularly,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,24,Used to smoke regularly,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,24,Used to smoke regularly,All,Scotland
S08000015,2016-2019,Percent,Percent Of Adults,20,Current smoker,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,22,Current smoker,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,53,Never smoked/Used to smoke occasionally,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,27,Used to smoke regularly,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,20,Current smoker,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,20,Current smoker,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,53,Never smoked/Used to smoke occasionally,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,27,Used to smoke regularly,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,53,Never smoked/Used to smoke occasionally,Female,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,27,Used to smoke regularly,Female,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,28,Used to smoke regularly,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,55,Never smoked/Used to smoke occasionally,Female,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,27,Used to smoke regularly,Female,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,18,Current smoker,Female,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,28,Used to smoke regularly,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,20,Current smoker,Female,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,52,Never smoked/Used to smoke occasionally,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,51,Never smoked/Used to smoke occasionally,Male,Ayrshire and Arran
S08000016,2015-2018,Percent,Percent Of Adults,55,Never smoked/Used to smoke occasionally,All,Borders
