feature_code,reference_area,year,population,births
S92000003,Scotland,2001,5064200,52527
S92000003,Scotland,2002,5066000,51270
S92000003,Scotland,2003,5068500,52432
S92000003,Scotland,2004,5084300,53957
S92000003,Scotland,2005,5110200,54386
S92000003,Scotland,2006,5133000,55690
S92000003,Scotland,2007,5170000,57781
S92000003,Scotland,2008,5202900,60041
S92000003,Scotland,2009,5231900,59046
S92000003,Scotland,2010,5262200,58791
S92000003,Scotland,2011,5299900,58590
S92000003,Scotland,2012,5313600,58027
S92000003,Scotland,2013,5327700,56014
S92000003,Scotland,2014,5347600,56725
S92000003,Scotland,2015,5373000,55098
S92000003,Scotland,2016,5404700,54488
S92000003,Scotland,2017,5424800,52861
S92000003,Scotland,2018,5438100,51308
S92000003,Scotland,2019,5463300,49863
S12000033,Aberdeen City,2001,211910,2097
S12000033,Aberdeen City,2002,210680,2098
S12000033,Aberdeen City,2003,209280,2003
S12000033,Aberdeen City,2004,207820,2075
S12000033,Aberdeen City,2005,208690,2061
S12000033,Aberdeen City,2006,209630,2200
S12000033,Aberdeen City,2007,212470,2417
S12000033,Aberdeen City,2008,214020,2596
S12000033,Aberdeen City,2009,217020,2564
S12000033,Aberdeen City,2010,219730,2599
S12000033,Aberdeen City,2011,222460,2608
S12000033,Aberdeen City,2012,224910,2688
S12000033,Aberdeen City,2013,227070,2500
S12000033,Aberdeen City,2014,228920,2565
S12000033,Aberdeen City,2015,230350,2609
S12000033,Aberdeen City,2016,229840,2521
S12000033,Aberdeen City,2017,228800,2402
S12000033,Aberdeen City,2018,227560,2337
S12000033,Aberdeen City,2019,228670,2260
S12000034,Aberdeenshire,2001,226940,2247
S12000034,Aberdeenshire,2002,228830,2326
S12000034,Aberdeenshire,2003,231250,2368
S12000034,Aberdeenshire,2004,234690,2388
S12000034,Aberdeenshire,2005,237570,2465
S12000034,Aberdeenshire,2006,241180,2589
S12000034,Aberdeenshire,2007,244390,2690
S12000034,Aberdeenshire,2008,246830,2771
S12000034,Aberdeenshire,2009,249020,2903
S12000034,Aberdeenshire,2010,251430,2727
S12000034,Aberdeenshire,2011,253650,2695
S12000034,Aberdeenshire,2012,255560,2867
S12000034,Aberdeenshire,2013,257770,2697
S12000034,Aberdeenshire,2014,260530,2836
S12000034,Aberdeenshire,2015,261960,2891
S12000034,Aberdeenshire,2016,262190,2811
S12000034,Aberdeenshire,2017,261800,2659
S12000034,Aberdeenshire,2018,261470,2697
S12000034,Aberdeenshire,2019,261210,2400
S12000041,Angus,2001,108370,1103
S12000041,Angus,2002,108810,1014
S12000041,Angus,2003,108700,1089
S12000041,Angus,2004,110170,1071
S12000041,Angus,2005,111340,1095
S12000041,Angus,2006,112500,1110
S12000041,Angus,2007,113540,1152
S12000041,Angus,2008,114490,1194
S12000041,Angus,2009,114830,1165
S12000041,Angus,2010,115410,1096
S12000041,Angus,2011,116200,1155
S12000041,Angus,2012,116220,1156
S12000041,Angus,2013,116290,1111
S12000041,Angus,2014,116740,1147
S12000041,Angus,2015,116900,1065
S12000041,Angus,2016,116520,1025
S12000041,Angus,2017,116280,1054
S12000041,Angus,2018,116040,964
S12000041,Angus,2019,116200,965
S12000035,Argyll and Bute,2001,91300,780
S12000035,Argyll and Bute,2002,91020,755
S12000035,Argyll and Bute,2003,90930,732
S12000035,Argyll and Bute,2004,90580,807
S12000035,Argyll and Bute,2005,90340,773
S12000035,Argyll and Bute,2006,90860,781
S12000035,Argyll and Bute,2007,90790,741
S12000035,Argyll and Bute,2008,89910,807
S12000035,Argyll and Bute,2009,89450,815
S12000035,Argyll and Bute,2010,88620,763
S12000035,Argyll and Bute,2011,88930,745
S12000035,Argyll and Bute,2012,86910,765
S12000035,Argyll and Bute,2013,88050,709
S12000035,Argyll and Bute,2014,87650,727
S12000035,Argyll and Bute,2015,86890,688
S12000035,Argyll and Bute,2016,87130,699
S12000035,Argyll and Bute,2017,86810,665
S12000035,Argyll and Bute,2018,86260,648
S12000035,Argyll and Bute,2019,85870,631
S12000036,City of Edinburgh,2001,449020,4489
S12000036,City of Edinburgh,2002,447500,4477
S12000036,City of Edinburgh,2003,445300,4577
S12000036,City of Edinburgh,2004,445870,4568
S12000036,City of Edinburgh,2005,449470,4691
S12000036,City of Edinburgh,2006,452040,4894
S12000036,City of Edinburgh,2007,456040,5056
S12000036,City of Edinburgh,2008,458520,5440
S12000036,City of Edinburgh,2009,463230,5475
S12000036,City of Edinburgh,2010,469930,5552
S12000036,City of Edinburgh,2011,477940,5560
S12000036,City of Edinburgh,2012,482630,5606
S12000036,City of Edinburgh,2013,487460,5486
S12000036,City of Edinburgh,2014,492610,5554
S12000036,City of Edinburgh,2015,498810,5274
S12000036,City of Edinburgh,2016,507170,5300
S12000036,City of Edinburgh,2017,513210,5033
S12000036,City of Edinburgh,2018,518500,4899
S12000036,City of Edinburgh,2019,524930,4683
S12000005,Clackmannanshire,2001,48070,529
S12000005,Clackmannanshire,2002,48140,480
S12000005,Clackmannanshire,2003,48140,468
S12000005,Clackmannanshire,2004,48680,501
S12000005,Clackmannanshire,2005,49160,528
S12000005,Clackmannanshire,2006,49540,546
S12000005,Clackmannanshire,2007,50600,634
S12000005,Clackmannanshire,2008,51190,644
S12000005,Clackmannanshire,2009,51290,610
S12000005,Clackmannanshire,2010,51330,620
S12000005,Clackmannanshire,2011,51500,564
S12000005,Clackmannanshire,2012,51280,627
S12000005,Clackmannanshire,2013,51280,550
S12000005,Clackmannanshire,2014,51190,557
S12000005,Clackmannanshire,2015,51360,553
S12000005,Clackmannanshire,2016,51350,505
S12000005,Clackmannanshire,2017,51450,536
S12000005,Clackmannanshire,2018,51400,465
S12000005,Clackmannanshire,2019,51540,414
S12000006,Dumfries and Galloway,2001,147780,1283
S12000006,Dumfries and Galloway,2002,147670,1343
S12000006,Dumfries and Galloway,2003,147860,1307
S12000006,Dumfries and Galloway,2004,148700,1431
S12000006,Dumfries and Galloway,2005,149620,1407
S12000006,Dumfries and Galloway,2006,149770,1471
S12000006,Dumfries and Galloway,2007,150370,1507
S12000006,Dumfries and Galloway,2008,151010,1430
S12000006,Dumfries and Galloway,2009,151160,1507
S12000006,Dumfries and Galloway,2010,151100,1445
S12000006,Dumfries and Galloway,2011,151410,1396
S12000006,Dumfries and Galloway,2012,150840,1390
S12000006,Dumfries and Galloway,2013,150280,1327
S12000006,Dumfries and Galloway,2014,149960,1286
S12000006,Dumfries and Galloway,2015,149670,1256
S12000006,Dumfries and Galloway,2016,149520,1318
S12000006,Dumfries and Galloway,2017,149200,1248
S12000006,Dumfries and Galloway,2018,148790,1198
S12000006,Dumfries and Galloway,2019,148860,1153
S12000042,Dundee City,2001,145460,1468
S12000042,Dundee City,2002,144370,1436
S12000042,Dundee City,2003,144080,1548
S12000042,Dundee City,2004,143100,1539
S12000042,Dundee City,2005,143600,1545
S12000042,Dundee City,2006,143360,1567
S12000042,Dundee City,2007,143700,1668
S12000042,Dundee City,2008,144290,1801
S12000042,Dundee City,2009,145170,1768
S12000042,Dundee City,2010,146060,1745
S12000042,Dundee City,2011,147200,1765
S12000042,Dundee City,2012,147780,1718
S12000042,Dundee City,2013,148100,1590
S12000042,Dundee City,2014,148130,1714
S12000042,Dundee City,2015,148210,1555
S12000042,Dundee City,2016,148270,1576
S12000042,Dundee City,2017,148710,1493
S12000042,Dundee City,2018,148750,1488
S12000042,Dundee City,2019,149320,1417
S12000008,East Ayrshire,2001,120310,1198
S12000008,East Ayrshire,2002,119920,1157
S12000008,East Ayrshire,2003,119850,1236
S12000008,East Ayrshire,2004,120210,1271
S12000008,East Ayrshire,2005,120280,1258
S12000008,East Ayrshire,2006,120440,1316
