feature_code,date_code,measurement,units,value,hb_name
S92000003,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,67,Scotland
S92000003,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,71.1,Scotland
S92000003,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,64,Scotland
S92000003,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,69.4,Scotland
S92000003,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,68.2,Scotland
S92000003,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,50.7,Scotland
S92000003,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,54.1,Scotland
S92000003,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,44.6,Scotland
S92000003,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,57.7,Scotland
S08000015,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,72.5,Ayrshire and Arran
S08000015,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,66.3,Ayrshire and Arran
S08000015,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,69.4,Ayrshire and Arran
S08000015,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,50.9,Ayrshire and Arran
S08000015,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,63.1,Ayrshire and Arran
S08000015,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,46.7,Ayrshire and Arran
S08000015,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,52,Ayrshire and Arran
S08000015,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,65.5,Ayrshire and Arran
S08000015,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,62.7,Ayrshire and Arran
S08000016,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,77.1,Borders
S08000016,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,76.2,Borders
S08000016,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,77.2,Borders
S08000016,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,70.8,Borders
S08000016,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,76.8,Borders
S08000016,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,69.2,Borders
S08000016,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,63.6,Borders
S08000016,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,62.6,Borders
S08000016,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,59.8,Borders
S08000017,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,67,Dumfries and Galloway
S08000017,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,68.1,Dumfries and Galloway
S08000017,2006,Ratio,Percent Of P1 Children With No Obvious Decay Experience,57.9,Dumfries and Galloway
S08000017,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,56.7,Dumfries and Galloway
S08000017,2003,Ratio,Percent Of P1 Children With No Obvious Decay Experience,50.9,Dumfries and Galloway
S08000017,2004,Ratio,Percent Of P1 Children With No Obvious Decay Experience,52.5,Dumfries and Galloway
S08000017,2012,Ratio,Percent Of P1 Children With No Obvious Decay Experience,62.3,Dumfries and Galloway
S08000017,2014,Ratio,Percent Of P1 Children With No Obvious Decay Experience,66.2,Dumfries and Galloway
S08000017,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,65.8,Dumfries and Galloway
S08000019,2016,Ratio,Percent Of P1 Children With No Obvious Decay Experience,69.7,Forth Valley
S08000019,2018,Ratio,Percent Of P1 Children With No Obvious Decay Experience,73.6,Forth Valley
S08000019,2010,Ratio,Percent Of P1 Children With No Obvious Decay Experience,73.2,Forth Valley
S08000019,2008,Ratio,Percent Of P1 Children With No Obvious Decay Experience,62.6,Forth Valley
