feature_code,date_code,measurement,units,value,life_satisfaction_level,sex,hb_name,longitude,latitude
S92000003,2016-2019,Percent,Percent Of Adults,35,Above the mode (9 to 10-Extremely satisfied),All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,35,Above the mode (9 to 10-Extremely satisfied),Female,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,34,Below the mode (0-Extremely dissatisfied to 7),All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,34,Below the mode (0-Extremely dissatisfied to 7),Female,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,31,Mode (8),All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,31,Mode (8),Male,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,34,Above the mode (9 to 10-Extremely satisfied),Male,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,35,Below the mode (0-Extremely dissatisfied to 7),Male,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,31,Mode (8),Female,Scotland,-4.2026,56.4907
S08000015,2016-2019,Percent,Percent Of Adults,36,Below the mode (0-Extremely dissatisfied to 7),Male,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,25,Mode (8),All,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,40,Above the mode (9 to 10-Extremely satisfied),Male,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,36,Below the mode (0-Extremely dissatisfied to 7),All,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,39,Above the mode (9 to 10-Extremely satisfied),All,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,38,Above the mode (9 to 10-Extremely satisfied),Female,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,24,Mode (8),Male,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,26,Mode (8),Female,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,36,Below the mode (0-Extremely dissatisfied to 7),Female,Ayrshire and Arran,-4.668,55.365
S08000016,2016-2019,Percent,Percent Of Adults,40,Above the mode (9 to 10-Extremely satisfied),Female,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,36,Below the mode (0-Extremely dissatisfied to 7),Male,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,34,Below the mode (0-Extremely dissatisfied to 7),All,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,27,Mode (8),Female,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,33,Below the mode (0-Extremely dissatisfied to 7),Female,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,39,Above the mode (9 to 10-Extremely satisfied),All,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,37,Above the mode (9 to 10-Extremely satisfied),Male,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,26,Mode (8),Male,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,27,Mode (8),All,Borders,-2.7861,55.5486
S08000017,2016-2019,Percent,Percent Of Adults,32,Below the mode (0-Extremely dissatisfied to 7),Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,41,Above the mode (9 to 10-Extremely satisfied),All,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,25,Mode (8),Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,40,Above the mode (9 to 10-Extremely satisfied),Male,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,43,Above the mode (9 to 10-Extremely satisfied),Female,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,26,Mode (8),Male,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,33,Below the mode (0-Extremely dissatisfied to 7),All,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,26,Mode (8),All,Dumfries and Galloway,-3.6053,55.0701
S08000017,2016-2019,Percent,Percent Of Adults,34,Below the mode (0-Extremely dissatisfied to 7),Male,Dumfries and Galloway,-3.6053,55.0701
S08000019,2016-2019,Percent,Percent Of Adults,31,Mode (8),Female,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,34,Below the mode (0-Extremely dissatisfied to 7),Male,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,32,Below the mode (0-Extremely dissatisfied to 7),Female,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,37,Above the mode (9 to 10-Extremely satisfied),All,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,30,Mode (8),All,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,37,Above the mode (9 to 10-Extremely satisfied),Female,Forth Valley,-3.8477,56.0254
S08000019,2016-2019,Percent,Percent Of Adults,29,Mode (8),Male,Forth Valley,-3.8477,56.0254
