feature_code,date_code,measurement,units,value,obesity,sex,hb_name,longitude,latitude
S92000003,2016-2019,Percent,Percent Of Adults,29,Obese,All,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,29,Obese,All,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,71,Not obese,All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,71,Not obese,All,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,70,Not obese,Female,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,70,Not obese,Female,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,28,Obese,Male,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,28,Obese,Male,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,72,Not obese,Male,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,72,Not obese,Male,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,30,Obese,Female,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,30,Obese,Female,Scotland,-4.2026,56.4907
S08000015,2015-2018,Percent,Percent Of Adults,30,Obese,Male,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,31,Obese,Male,Ayrshire and Arran,-4.668,55.365
S08000015,2015-2018,Percent,Percent Of Adults,70,Not obese,Male,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,69,Not obese,Male,Ayrshire and Arran,-4.668,55.365
S08000015,2015-2018,Percent,Percent Of Adults,33,Obese,All,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,66,Not obese,All,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,34,Obese,All,Ayrshire and Arran,-4.668,55.365
S08000015,2015-2018,Percent,Percent Of Adults,67,Not obese,All,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,36,Obese,Female,Ayrshire and Arran,-4.668,55.365
S08000015,2016-2019,Percent,Percent Of Adults,64,Not obese,Female,Ayrshire and Arran,-4.668,55.365
S08000015,2015-2018,Percent,Percent Of Adults,36,Obese,Female,Ayrshire and Arran,-4.668,55.365
S08000015,2015-2018,Percent,Percent Of Adults,64,Not obese,Female,Ayrshire and Arran,-4.668,55.365
S08000016,2015-2018,Percent,Percent Of Adults,31,Obese,Male,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,28,Obese,All,Borders,-2.7861,55.5486
S08000016,2015-2018,Percent,Percent Of Adults,29,Obese,All,Borders,-2.7861,55.5486
S08000016,2015-2018,Percent,Percent Of Adults,73,Not obese,Female,Borders,-2.7861,55.5486
S08000016,2015-2018,Percent,Percent Of Adults,71,Not obese,All,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,74,Not obese,Female,Borders,-2.7861,55.5486
S08000016,2015-2018,Percent,Percent Of Adults,27,Obese,Female,Borders,-2.7861,55.5486
S08000016,2015-2018,Percent,Percent Of Adults,69,Not obese,Male,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,68,Not obese,Male,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,32,Obese,Male,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,26,Obese,Female,Borders,-2.7861,55.5486
S08000016,2016-2019,Percent,Percent Of Adults,72,Not obese,All,Borders,-2.7861,55.5486
