feature_code,date_code,measurement,units,value,scottish_health_survey_indicator,sex,hb_name,longitude,latitude
S92000003,2016-2019,Percent,Percent Of Adults,85,"Provide any regular help or care for any sick, disabled or frail person: No",All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,All,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,4,Summary activity levels: Low activity,All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,84,Doctor-diagnosed asthma: No,All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,59,Alcohol consumption: Moderate drinker,All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,35,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,83,Doctor-diagnosed asthma: No,Female,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,35,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,11,Summary activity levels: Some activity,All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,34,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,24,Alcohol consumption: Hazardous/Harmful drinker,All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,83,"Provide any regular help or care for any sick, disabled or frail person: No",Female,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,All,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,11,Fruit & vegetable consumption: None,All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,34,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,19,Smoking status: Current smoker,All,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,20,Smoking status: Current smoker,All,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Female,Scotland,-4.2026,56.4907
S92000003,2015-2018,Percent,Percent Of Adults,23,Summary activity levels: Very low activity,Female,Scotland,-4.2026,56.4907
S92000003,2016-2019,Percent,Percent Of Adults,17,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female,Scotland,-4.2026,56.4907
