FeatureCode,DateCode,Measurement,Units,Value,Gender,Weight Category
S08000028,2011/2012,Ratio,Percent Of P1 Children,2.11,Female,Epidemiological - Underweight
S08000024,2005/2006,Ratio,Percent Of P1 Children,1.57,Female,Epidemiological - Underweight
S08000015,2015/2016,Ratio,Percent Of P1 Children,0.98,Female,Epidemiological - Underweight
S08000031,2017/2018,Ratio,Percent Of P1 Children,1.51,Male,Epidemiological - Underweight
S08000032,2004/2005,Ratio,Percent Of P1 Children,2.96,Male,Epidemiological - Underweight
S08000030,2013/2014,Ratio,Percent Of P1 Children,0.62,All,Epidemiological - Underweight
S08000017,2018/2019,Ratio,Percent Of P1 Children,1.15,Male,Epidemiological - Underweight
S92000003,2006/2007,Ratio,Percent Of P1 Children,1.55,All,Epidemiological - Underweight
S08000028,2006/2007,Ratio,Percent Of P1 Children,2.04,Female,Epidemiological - Underweight
S08000017,2007/2008,Ratio,Percent Of P1 Children,0.62,Female,Epidemiological - Underweight
S08000028,2012/2013,Ratio,Percent Of P1 Children,2.65,Female,Epidemiological - Underweight
S08000030,2011/2012,Ratio,Percent Of P1 Children,0.94,All,Epidemiological - Underweight
S08000024,2009/2010,Ratio,Percent Of P1 Children,1.91,All,Epidemiological - Underweight
S08000025,2011/2012,Ratio,Percent Of P1 Children,0.85,Female,Epidemiological - Underweight
S92000003,2014/2015,Ratio,Percent Of P1 Children,0.79,Female,Epidemiological - Underweight
S08000030,2012/2013,Ratio,Percent Of P1 Children,0.57,All,Epidemiological - Underweight
S08000031,2018/2019,Ratio,Percent Of P1 Children,1.19,Male,Epidemiological - Underweight
S08000024,2006/2007,Ratio,Percent Of P1 Children,0.89,Female,Epidemiological - Underweight
S08000032,2001/2002,Ratio,Percent Of P1 Children,2.45,Male,Epidemiological - Underweight
S08000032,2017/2018,Ratio,Percent Of P1 Children,2.34,Male,Epidemiological - Underweight
S08000032,2003/2004,Ratio,Percent Of P1 Children,2.97,Male,Epidemiological - Underweight
S08000025,2012/2013,Ratio,Percent Of P1 Children,0.87,Female,Epidemiological - Underweight
S08000016,2006/2007,Ratio,Percent Of P1 Children,0.36,Female,Epidemiological - Underweight
S08000017,2005/2006,Ratio,Percent Of P1 Children,0.86,All,Epidemiological - Underweight
S08000020,2010/2011,Ratio,Percent Of P1 Children,1.84,All,Epidemiological - Underweight
S08000028,2016/2017,Ratio,Percent Of P1 Children,0.00,Female,Epidemiological - Underweight
S08000025,2018/2019,Ratio,Percent Of P1 Children,0.00,Male,Epidemiological - Underweight
S08000028,2005/2006,Ratio,Percent Of P1 Children,1.69,Female,Epidemiological - Underweight
S08000026,2018/2019,Ratio,Percent Of P1 Children,0.00,Male,Epidemiological - Underweight
S08000015,2016/2017,Ratio,Percent Of P1 Children,1.34,Female,Epidemiological - Underweight
S08000017,2016/2017,Ratio,Percent Of P1 Children,0.61,Female,Epidemiological - Underweight
S08000020,2018/2019,Ratio,Percent Of P1 Children,0.85,Male,Epidemiological - Underweight
S08000030,2018/2019,Ratio,Percent Of P1 Children,1.29,Male,Epidemiological - Underweight
S08000032,2018/2019,Ratio,Percent Of P1 Children,1.74,Male,Epidemiological - Underweight
S08000016,2016/2017,Ratio,Percent Of P1 Children,0.37,Female,Epidemiological - Underweight
S08000031,2010/2011,Ratio,Percent Of P1 Children,2.94,All,Epidemiological - Underweight
S92000003,2005/2006,Ratio,Percent Of P1 Children,1.51,All,Epidemiological - Underweight
S08000020,2013/2014,Ratio,Percent Of P1 Children,0.68,All,Epidemiological - Underweight
S92000003,2018/2019,Ratio,Percent Of P1 Children,1.26,Male,Epidemiological - Underweight
S08000022,2015/2016,Ratio,Percent Of P1 Children,0.53,Female,Epidemiological - Underweight
S08000019,2018/2019,Ratio,Percent Of P1 Children,1.25,Male,Epidemiological - Underweight
S08000028,2018/2019,Ratio,Percent Of P1 Children,1.85,Male,Epidemiological - Underweight
S08000031,2011/2012,Ratio,Percent Of P1 Children,0.93,All,Epidemiological - Underweight
S08000019,2006/2007,Ratio,Percent Of P1 Children,0.97,Female,Epidemiological - Underweight
S08000019,2005/2006,Ratio,Percent Of P1 Children,1.37,Female,Epidemiological - Underweight
S08000024,2008/2009,Ratio,Percent Of P1 Children,0.86,Female,Epidemiological - Underweight
S08000025,2010/2011,Ratio,Percent Of P1 Children,0.00,Female,Epidemiological - Underweight
S08000024,2011/2012,Ratio,Percent Of P1 Children,1.05,All,Epidemiological - Underweight
S08000024,2007/2008,Ratio,Percent Of P1 Children,0.75,Female,Epidemiological - Underweight
S08000024,2009/2010,Ratio,Percent Of P1 Children,1.75,Female,Epidemiological - Underweight
S08000031,2016/2017,Ratio,Percent Of P1 Children,1.59,Male,Epidemiological - Underweight
S08000017,2014/2015,Ratio,Percent Of P1 Children,0.07,All,Epidemiological - Underweight
S08000032,2011/2012,Ratio,Percent Of P1 Children,3.77,Male,Epidemiological - Underweight
S08000019,2009/2010,Ratio,Percent Of P1 Children,0.81,Female,Epidemiological - Underweight
S08000030,2010/2011,Ratio,Percent Of P1 Children,2.19,All,Epidemiological - Underweight
S08000031,2015/2016,Ratio,Percent Of P1 Children,1.42,Male,Epidemiological - Underweight
S08000032,2013/2014,Ratio,Percent Of P1 Children,1.41,Female,Epidemiological - Underweight
S08000031,2014/2015,Ratio,Percent Of P1 Children,1.79,Male,Epidemiological - Underweight
S08000017,2013/2014,Ratio,Percent Of P1 Children,0.63,All,Epidemiological - Underweight
S08000028,2007/2008,Ratio,Percent Of P1 Children,1.69,All,Epidemiological - Underweight
S08000022,2013/2014,Ratio,Percent Of P1 Children,0.52,Female,Epidemiological - Underweight
S08000032,2009/2010,Ratio,Percent Of P1 Children,3.03,Male,Epidemiological - Underweight
S08000015,2013/2014,Ratio,Percent Of P1 Children,1.39,All,Epidemiological - Underweight
S08000032,2008/2009,Ratio,Percent Of P1 Children,3.89,Male,Epidemiological - Underweight
S08000015,2012/2013,Ratio,Percent Of P1 Children,1.48,All,Epidemiological - Underweight
S08000031,2006/2007,Ratio,Percent Of P1 Children,1.81,Female,Epidemiological - Underweight
S08000017,2012/2013,Ratio,Percent Of P1 Children,0.91,All,Epidemiological - Underweight
S08000032,2011/2012,Ratio,Percent Of P1 Children,2.06,Female,Epidemiological - Underweight
S08000032,2012/2013,Ratio,Percent Of P1 Children,1.98,Female,Epidemiological - Underweight
S08000032,2007/2008,Ratio,Percent Of P1 Children,2.54,Female,Epidemiological - Underweight
S08000032,2012/2013,Ratio,Percent Of P1 Children,2.71,Male,Epidemiological - Underweight
S08000017,2010/2011,Ratio,Percent Of P1 Children,0.15,Female,Epidemiological - Underweight
S08000015,2018/2019,Ratio,Percent Of P1 Children,1.89,Male,Epidemiological - Underweight
S08000032,2002/2003,Ratio,Percent Of P1 Children,2.42,Male,Epidemiological - Underweight
S08000030,2006/2007,Ratio,Percent Of P1 Children,1.66,All,Epidemiological - Underweight
S08000020,2009/2010,Ratio,Percent Of P1 Children,1.13,Female,Epidemiological - Underweight
S08000024,2010/2011,Ratio,Percent Of P1 Children,2.22,All,Epidemiological - Underweight
S08000020,2016/2017,Ratio,Percent Of P1 Children,0.33,Female,Epidemiological - Underweight
S08000030,2005/2006,Ratio,Percent Of P1 Children,1.49,All,Epidemiological - Underweight
S08000024,2016/2017,Ratio,Percent Of P1 Children,0.93,Female,Epidemiological - Underweight
S08000017,2006/2007,Ratio,Percent Of P1 Children,0.91,All,Epidemiological - Underweight
S08000028,2013/2014,Ratio,Percent Of P1 Children,1.57,Female,Epidemiological - Underweight
S08000022,2018/2019,Ratio,Percent Of P1 Children,0.6,Male,Epidemiological - Underweight
S08000030,2009/2010,Ratio,Percent Of P1 Children,1.49,All,Epidemiological - Underweight
S08000022,2014/2015,Ratio,Percent Of P1 Children,0.6,Female,Epidemiological - Underweight
S08000029,2006/2007,Ratio,Percent Of P1 Children,0.64,All,Epidemiological - Underweight
S08000029,2005/2006,Ratio,Percent Of P1 Children,0.64,All,Epidemiological - Underweight
S08000032,2007/2008,Ratio,Percent Of P1 Children,3.12,Male,Epidemiological - Underweight
S08000031,2015/2016,Ratio,Percent Of P1 Children,0.89,Female,Epidemiological - Underweight
S08000020,2012/2013,Ratio,Percent Of P1 Children,1.07,All,Epidemiological - Underweight
S08000016,2015/2016,Ratio,Percent Of P1 Children,0.57,Female,Epidemiological - Underweight
S08000016,2018/2019,Ratio,Percent Of P1 Children,0.2,Male,Epidemiological - Underweight
S08000029,2018/2019,Ratio,Percent Of P1 Children,1.33,Male,Epidemiological - Underweight
S08000019,2010/2011,Ratio,Percent Of P1 Children,0.37,Female,Epidemiological - Underweight
S08000025,2016/2017,Ratio,Percent Of P1 Children,1.02,Female,Epidemiological - Underweight
S08000031,2006/2007,Ratio,Percent Of P1 Children,3.61,Male,Epidemiological - Underweight
S08000031,2012/2013,Ratio,Percent Of P1 Children,0.91,Female,Epidemiological - Underweight
S08000024,2012/2013,Ratio,Percent Of P1 Children,0.4,Female,Epidemiological - Underweight
S08000026,2015/2016,Ratio,Percent Of P1 Children,0.81,Female,Epidemiological - Underweight
S08000017,2004/2005,Ratio,Percent Of P1 Children,1.83,Male,Epidemiological - Underweight
S92000003,2016/2017,Ratio,Percent Of P1 Children,0.97,All,Epidemiological - Underweight
S92000003,2008/2009,Ratio,Percent Of P1 Children,1.43,Female,Epidemiological - Underweight
S08000026,2009/2010,Ratio,Percent Of P1 Children,0.97,Female,Epidemiological - Underweight
S08000029,2013/2014,Ratio,Percent Of P1 Children,0.95,Female,Epidemiological - Underweight
S08000024,2016/2017,Ratio,Percent Of P1 Children,1.16,All,Epidemiological - Underweight
S08000025,2013/2014,Ratio,Percent Of P1 Children,0.93,All,Epidemiological - Underweight
S08000025,2016/2017,Ratio,Percent Of P1 Children,0.52,All,Epidemiological - Underweight
S08000028,2017/2018,Ratio,Percent Of P1 Children,0.78,Male,Epidemiological - Underweight
S08000024,2007/2008,Ratio,Percent Of P1 Children,1.11,All,Epidemiological - Underweight
S08000029,2016/2017,Ratio,Percent Of P1 Children,1.07,All,Epidemiological - Underweight
S08000020,2012/2013,Ratio,Percent Of P1 Children,0.98,Female,Epidemiological - Underweight
S08000029,2012/2013,Ratio,Percent Of P1 Children,0.62,Female,Epidemiological - Underweight
S08000030,2006/2007,Ratio,Percent Of P1 Children,1.19,Female,Epidemiological - Underweight
S92000003,2015/2016,Ratio,Percent Of P1 Children,0.86,Female,Epidemiological - Underweight
S08000022,2016/2017,Ratio,Percent Of P1 Children,0.7,All,Epidemiological - Underweight
S92000003,2017/2018,Ratio,Percent Of P1 Children,1.43,Male,Epidemiological - Underweight
S08000031,2011/2012,Ratio,Percent Of P1 Children,0.66,Female,Epidemiological - Underweight
S08000029,2014/2015,Ratio,Percent Of P1 Children,0.87,Female,Epidemiological - Underweight
S08000016,2005/2006,Ratio,Percent Of P1 Children,1.16,All,Epidemiological - Underweight
S92000003,2004/2005,Ratio,Percent Of P1 Children,1.93,Male,Epidemiological - Underweight
S08000019,2006/2007,Ratio,Percent Of P1 Children,0.71,All,Epidemiological - Underweight
S08000026,2014/2015,Ratio,Percent Of P1 Children,0.00,Female,Epidemiological - Underweight
S08000020,2015/2016,Ratio,Percent Of P1 Children,1.74,Male,Epidemiological - Underweight
