feature_code,date_code,measurement,units,value,alcohol_consumption,sex,hb_name
S92000003,2016-2019,Percent,Percent Of Adults,59,Moderate drinker,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,24,Hazardous/Harmful drinker,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,16,Non-drinker,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,59,Moderate drinker,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,16,Non-drinker,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,25,Hazardous/Harmful drinker,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,19,Non-drinker,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,16,Hazardous/Harmful drinker,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,16,Hazardous/Harmful drinker,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,19,Non-drinker,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,13,Non-drinker,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,14,Non-drinker,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,53,Moderate drinker,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,54,Moderate drinker,Male,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,34,Hazardous/Harmful drinker,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,33,Hazardous/Harmful drinker,Male,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,65,Moderate drinker,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,65,Moderate drinker,Female,Scotland
S08000015,2015-2018,Percent,Percent Of Adults,55,Moderate drinker,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,35,Hazardous/Harmful drinker,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,24,Hazardous/Harmful drinker,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,20,Non-drinker,All,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,25,Hazardous/Harmful drinker,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,56,Moderate drinker,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,21,Non-drinker,All,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,16,Non-drinker,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,37,Hazardous/Harmful drinker,Male,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,49,Moderate drinker,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,17,Non-drinker,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,47,Moderate drinker,Male,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,61,Moderate drinker,Female,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,62,Moderate drinker,Female,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,16,Hazardous/Harmful drinker,Female,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,24,Non-drinker,Female,Ayrshire and Arran
S08000015,2016-2019,Percent,Percent Of Adults,14,Hazardous/Harmful drinker,Female,Ayrshire and Arran
S08000015,2015-2018,Percent,Percent Of Adults,23,Non-drinker,Female,Ayrshire and Arran
S08000016,2016-2019,Percent,Percent Of Adults,24,Hazardous/Harmful drinker,All,Borders
S08000016,2016-2019,Percent,Percent Of Adults,64,Moderate drinker,All,Borders
S08000016,2015-2018,Percent,Percent Of Adults,11,Non-drinker,Female,Borders
S08000016,2016-2019,Percent,Percent Of Adults,70,Moderate drinker,Female,Borders
S08000016,2016-2019,Percent,Percent Of Adults,12,Non-drinker,Female,Borders
S08000016,2016-2019,Percent,Percent Of Adults,18,Hazardous/Harmful drinker,Female,Borders
S08000016,2016-2019,Percent,Percent Of Adults,55,Moderate drinker,Male,Borders
S08000016,2015-2018,Percent,Percent Of Adults,22,Hazardous/Harmful drinker,All,Borders
S08000016,2015-2018,Percent,Percent Of Adults,16,Hazardous/Harmful drinker,Female,Borders
S08000016,2016-2019,Percent,Percent Of Adults,13,Non-drinker,All,Borders
S08000016,2016-2019,Percent,Percent Of Adults,14,Non-drinker,Male,Borders
S08000016,2015-2018,Percent,Percent Of Adults,11,Non-drinker,Male,Borders
S08000016,2016-2019,Percent,Percent Of Adults,31,Hazardous/Harmful drinker,Male,Borders
S08000016,2015-2018,Percent,Percent Of Adults,11,Non-drinker,All,Borders
S08000016,2015-2018,Percent,Percent Of Adults,72,Moderate drinker,Female,Borders
S08000016,2015-2018,Percent,Percent Of Adults,59,Moderate drinker,Male,Borders
S08000016,2015-2018,Percent,Percent Of Adults,66,Moderate drinker,All,Borders
S08000016,2015-2018,Percent,Percent Of Adults,30,Hazardous/Harmful drinker,Male,Borders
S08000017,2016-2019,Percent,Percent Of Adults,21,Hazardous/Harmful drinker,All,Dumfries and Galloway
S08000017,2016-2019,Percent,Percent Of Adults,67,Moderate drinker,All,Dumfries and Galloway
S08000017,2015-2018,Percent,Percent Of Adults,19,Hazardous/Harmful drinker,All,Dumfries and Galloway
S08000017,2015-2018,Percent,Percent Of Adults,16,Non-drinker,All,Dumfries and Galloway
S08000017,2015-2018,Percent,Percent Of Adults,52,Moderate drinker,Male,Dumfries and Galloway
S08000017,2016-2019,Percent,Percent Of Adults,13,Non-drinker,All,Dumfries and Galloway
S08000017,2016-2019,Percent,Percent Of Adults,30,Hazardous/Harmful drinker,Male,Dumfries and Galloway
S08000017,2016-2019,Percent,Percent Of Adults,12,Non-drinker,Female,Dumfries and Galloway
S08000017,2015-2018,Percent,Percent Of Adults,14,Non-drinker,Female,Dumfries and Galloway
S08000017,2015-2018,Percent,Percent Of Adults,29,Hazardous/Harmful drinker,Male,Dumfries and Galloway
