feature_code,feeding_ratio,year,la_name
S12000039,24.02,2005,West Dunbartonshire
S12000039,21.41,2010,West Dunbartonshire
S12000039,21.55,2008,West Dunbartonshire
S12000039,19.39,2013,West Dunbartonshire
S12000039,19.69,2007,West Dunbartonshire
S12000039,22.5,2014,West Dunbartonshire
S12000039,22.53,2018,West Dunbartonshire
S12000039,21.36,2009,West Dunbartonshire
S12000039,25.28,2004,West Dunbartonshire
S12000039,21.12,2015,West Dunbartonshire
S12000039,23.48,2017,West Dunbartonshire
S12000039,18.01,2011,West Dunbartonshire
S12000039,25.61,2003,West Dunbartonshire
S12000039,25.08,2006,West Dunbartonshire
S12000039,22.29,2016,West Dunbartonshire
S12000039,26.84,2019,West Dunbartonshire
S12000039,22.57,2012,West Dunbartonshire
S12000040,34.82,2007,West Lothian
S12000040,33.17,2013,West Lothian
S12000040,37.43,2017,West Lothian
S12000040,32.94,2015,West Lothian
S12000040,33.21,2014,West Lothian
S12000040,32.53,2012,West Lothian
S12000040,35.83,2009,West Lothian
S12000040,33.3,2004,West Lothian
S12000040,33.55,2010,West Lothian
S12000040,35.57,2006,West Lothian
S12000040,35.68,2003,West Lothian
S12000040,33.77,2005,West Lothian
S12000040,35.16,2016,West Lothian
S12000040,34.02,2008,West Lothian
S12000040,40.5,2019,West Lothian
S12000040,34.27,2011,West Lothian
S12000040,39.67,2018,West Lothian
S92000003,35.66,2007,Scotland
S92000003,35.86,2005,Scotland
S92000003,36.53,2012,Scotland
S92000003,37.83,2015,Scotland
S92000003,35.63,2004,Scotland
S92000003,38.4,2016,Scotland
S92000003,40.4,2017,Scotland
S92000003,36.25,2003,Scotland
S92000003,35.94,2009,Scotland
S92000003,36.68,2006,Scotland
S92000003,36.82,2011,Scotland
S92000003,35.16,2008,Scotland
S92000003,35.77,2010,Scotland
S92000003,43.19,2019,Scotland
S92000003,36.16,2013,Scotland
S92000003,37.26,2014,Scotland
S92000003,41.23,2018,Scotland
S12000005,22.84,2014,Clackmannanshire
S12000005,23.98,2007,Clackmannanshire
S12000005,27.8,2008,Clackmannanshire
S12000005,27.37,2015,Clackmannanshire
S12000005,29.55,2006,Clackmannanshire
S12000005,26.8,2018,Clackmannanshire
S12000005,28.51,2005,Clackmannanshire
S12000005,30.34,2019,Clackmannanshire
S12000005,23.15,2016,Clackmannanshire
S12000005,22.75,2013,Clackmannanshire
S12000005,27.39,2012,Clackmannanshire
S12000005,28.98,2009,Clackmannanshire
S12000005,23.59,2017,Clackmannanshire
S12000005,28.44,2004,Clackmannanshire
S12000005,30.21,2003,Clackmannanshire
S12000005,27.27,2011,Clackmannanshire
S12000005,24.47,2010,Clackmannanshire
S12000006,32.55,2009,Dumfries and Galloway
S12000006,31.1,2013,Dumfries and Galloway
S12000006,33.76,2007,Dumfries and Galloway
S12000006,32.74,2010,Dumfries and Galloway
S12000006,33.56,2008,Dumfries and Galloway
S12000006,31.12,2011,Dumfries and Galloway
S12000006,32.68,2014,Dumfries and Galloway
S12000006,32.21,2015,Dumfries and Galloway
S12000006,31.83,2016,Dumfries and Galloway
S12000006,35.7,2018,Dumfries and Galloway
S12000006,37.28,2006,Dumfries and Galloway
S12000006,32.12,2012,Dumfries and Galloway
S12000006,32.92,2017,Dumfries and Galloway
S12000006,35.95,2003,Dumfries and Galloway
S12000006,36.43,2005,Dumfries and Galloway
S12000006,34.97,2019,Dumfries and Galloway
S12000006,37.88,2004,Dumfries and Galloway
S12000008,21.32,2016,East Ayrshire
S12000008,28.07,2006,East Ayrshire
S12000008,21.42,2015,East Ayrshire
S12000008,24.42,2012,East Ayrshire
S12000008,30.31,2005,East Ayrshire
S12000008,26.07,2019,East Ayrshire
S12000008,20.88,2013,East Ayrshire
S12000008,30.3,2003,East Ayrshire
S12000008,22.3,2010,East Ayrshire
S12000008,23.61,2014,East Ayrshire
S12000008,22.71,2011,East Ayrshire
S12000008,27.31,2004,East Ayrshire
S12000008,23.48,2008,East Ayrshire
S12000008,23.73,2018,East Ayrshire
S12000008,28.63,2007,East Ayrshire
S12000008,25,2009,East Ayrshire
S12000008,22.28,2017,East Ayrshire
S12000010,44.39,2014,East Lothian
S12000010,40.11,2013,East Lothian
S12000010,45.08,2018,East Lothian
S12000010,44.57,2008,East Lothian
S12000010,41.44,2011,East Lothian
S12000010,43.33,2007,East Lothian
S12000010,44.76,2005,East Lothian
S12000010,47.38,2010,East Lothian
S12000010,42.93,2009,East Lothian
S12000010,42.29,2012,East Lothian
S12000010,47.74,2004,East Lothian
S12000010,47.93,2017,East Lothian
S12000010,45.71,2003,East Lothian
S12000010,46.62,2016,East Lothian
S12000010,46.12,2006,East Lothian
S12000010,50.44,2019,East Lothian
S12000010,44.75,2015,East Lothian
S12000011,50.6,2015,East Renfrewshire
S12000011,47.52,2003,East Renfrewshire
S12000011,44.29,2011,East Renfrewshire
S12000011,52.12,2017,East Renfrewshire
S12000011,47.02,2008,East Renfrewshire
S12000011,52.9,2018,East Renfrewshire
S12000011,56.67,2019,East Renfrewshire
S12000011,47.08,2007,East Renfrewshire
S12000011,47.69,2005,East Renfrewshire
S12000011,45.81,2009,East Renfrewshire
S12000011,46.1,2013,East Renfrewshire
S12000011,47.2,2012,East Renfrewshire
S12000011,45.29,2014,East Renfrewshire
S12000011,48.26,2004,East Renfrewshire
S12000011,52.23,2016,East Renfrewshire
S12000011,49.62,2006,East Renfrewshire
S12000011,45.4,2010,East Renfrewshire
S12000013,40,2016,Na h-Eileanan Siar
S12000013,50.82,2019,Na h-Eileanan Siar
S12000013,41.63,2012,Na h-Eileanan Siar
S12000013,42.79,2017,Na h-Eileanan Siar
S12000013,34.69,2007,Na h-Eileanan Siar
S12000013,45.6,2009,Na h-Eileanan Siar
S12000013,38.73,2011,Na h-Eileanan Siar
S12000013,35.11,2013,Na h-Eileanan Siar
S12000013,40.54,2014,Na h-Eileanan Siar
S12000013,40.23,2008,Na h-Eileanan Siar
S12000013,34.69,2010,Na h-Eileanan Siar
S12000013,38.28,2015,Na h-Eileanan Siar
S12000013,45.03,2018,Na h-Eileanan Siar
S12000014,25.48,2005,Falkirk
S12000014,27.52,2012,Falkirk
S12000014,27.63,2015,Falkirk
S12000014,29.08,2018,Falkirk
S12000014,28.98,2006,Falkirk
S12000014,26.5,2014,Falkirk
S12000014,25.14,2003,Falkirk
S12000014,28.22,2011,Falkirk
S12000014,25.66,2010,Falkirk
S12000014,28.69,2004,Falkirk
S12000014,29.01,2016,Falkirk
S12000014,27.87,2013,Falkirk
S12000014,28.39,2009,Falkirk
S12000014,26.23,2008,Falkirk
S12000014,25.72,2007,Falkirk
S12000014,29.97,2017,Falkirk
S12000014,31.37,2019,Falkirk
S12000017,43.88,2016,Highland
S12000017,47.17,2019,Highland
S12000017,41.23,2013,Highland
S12000017,38.46,2007,Highland
S12000017,40.18,2015,Highland
S12000017,40.59,2010,Highland
S12000017,55,2004,Highland
S12000017,40.67,2014,Highland
S12000017,41.67,2005,Highland
S12000017,44.63,2017,Highland
S12000017,42.2,2011,Highland
S12000017,44.01,2008,Highland
S12000017,40.12,2012,Highland
S12000017,70,2003,Highland
S12000017,43.04,2009,Highland
S12000017,60,2006,Highland
S12000017,43.98,2018,Highland
S12000018,23.59,2012,Inverclyde
S12000018,18.12,2013,Inverclyde
S12000018,21.12,2011,Inverclyde
S12000018,24.71,2003,Inverclyde
S12000018,20.2,2015,Inverclyde
S12000018,27.08,2005,Inverclyde
S12000018,22.72,2004,Inverclyde
S12000018,21.54,2008,Inverclyde
S12000018,22.48,2007,Inverclyde
S12000018,19.71,2019,Inverclyde
S12000018,21.99,2018,Inverclyde
S12000018,18.35,2010,Inverclyde
S12000018,20.83,2016,Inverclyde
S12000018,20.08,2014,Inverclyde
S12000018,19.87,2017,Inverclyde
S12000018,21.33,2009,Inverclyde
S12000018,23.82,2006,Inverclyde
S12000019,34.06,2011,Midlothian
S12000019,36.56,2006,Midlothian
S12000019,34.02,2013,Midlothian
S12000019,37.92,2016,Midlothian
S12000019,35.4,2014,Midlothian
S12000019,35.75,2005,Midlothian
S12000019,35.81,2009,Midlothian
S12000019,37.8,2003,Midlothian
S12000019,36.51,2010,Midlothian
S12000019,45.19,2019,Midlothian
S12000019,42.95,2018,Midlothian
S12000019,37.97,2004,Midlothian
S12000019,32.01,2012,Midlothian
S12000019,36.16,2008,Midlothian
S12000019,40.02,2017,Midlothian
S12000019,38.07,2007,Midlothian
S12000019,39.61,2015,Midlothian
S12000020,38.87,2012,Moray
S12000020,48,2018,Moray
S12000020,39.83,2015,Moray
S12000020,44.82,2019,Moray
S12000020,38.01,2014,Moray
S12000020,38.38,2013,Moray
S12000020,45.52,2017,Moray
S12000020,39.62,2011,Moray
S12000020,40.99,2016,Moray
S12000021,23.97,2015,North Ayrshire
S12000021,18.91,2012,North Ayrshire
S12000021,24.04,2014,North Ayrshire
S12000021,24.31,2004,North Ayrshire
S12000021,25.7,2010,North Ayrshire
S12000021,27.88,2006,North Ayrshire
S12000021,24.6,2007,North Ayrshire
S12000021,23.31,2011,North Ayrshire
S12000021,23.76,2008,North Ayrshire
S12000021,23.46,2017,North Ayrshire
S12000021,23.82,2018,North Ayrshire
S12000021,26.97,2005,North Ayrshire
S12000021,26.17,2003,North Ayrshire
S12000021,26.27,2019,North Ayrshire
S12000021,21.95,2016,North Ayrshire
S12000021,23.34,2009,North Ayrshire
S12000021,20.99,2013,North Ayrshire
S12000023,50.83,2011,Orkney Islands
S12000023,58.86,2012,Orkney Islands
S12000023,62.2,2017,Orkney Islands
S12000023,63.91,2019,Orkney Islands
S12000023,62.2,2014,Orkney Islands
S12000023,60.38,2018,Orkney Islands
S12000023,50.92,2016,Orkney Islands
S12000023,55.62,2013,Orkney Islands
S12000023,55.49,2015,Orkney Islands
S12000026,49.23,2006,Scottish Borders
S12000026,40.87,2011,Scottish Borders
S12000026,44.54,2007,Scottish Borders
S12000026,47.85,2005,Scottish Borders
S12000026,42.46,2013,Scottish Borders
S12000026,45.96,2018,Scottish Borders
S12000026,45.36,2009,Scottish Borders
S12000026,43.26,2010,Scottish Borders
S12000026,49.2,2003,Scottish Borders
S12000026,48.43,2017,Scottish Borders
S12000026,43.13,2016,Scottish Borders
S12000026,48.35,2019,Scottish Borders
S12000026,44.3,2012,Scottish Borders
S12000026,40.64,2008,Scottish Borders
S12000026,47.33,2004,Scottish Borders
S12000026,45.7,2015,Scottish Borders
S12000026,43.49,2014,Scottish Borders
S12000027,52.57,2012,Shetland Islands
S12000027,55.36,2014,Shetland Islands
S12000027,58.66,2011,Shetland Islands
S12000027,52.46,2009,Shetland Islands
S12000027,58.93,2019,Shetland Islands
S12000027,53.85,2017,Shetland Islands
S12000027,58.95,2018,Shetland Islands
S12000027,57.03,2015,Shetland Islands
S12000027,53.65,2013,Shetland Islands
S12000027,58.93,2016,Shetland Islands
S12000027,51.29,2010,Shetland Islands
S12000028,29.86,2017,South Ayrshire
S12000028,30.08,2009,South Ayrshire
S12000028,34.36,2007,South Ayrshire
S12000028,30.8,2004,South Ayrshire
S12000028,34.15,2005,South Ayrshire
S12000028,28.54,2012,South Ayrshire
S12000028,29.8,2008,South Ayrshire
S12000028,29.73,2015,South Ayrshire
S12000028,34.09,2006,South Ayrshire
S12000028,29.17,2011,South Ayrshire
S12000028,31.91,2014,South Ayrshire
S12000028,33.76,2003,South Ayrshire
S12000028,28.28,2013,South Ayrshire
S12000028,29.58,2016,South Ayrshire
S12000028,27.59,2010,South Ayrshire
S12000028,30.03,2019,South Ayrshire
S12000028,29.06,2018,South Ayrshire
S12000029,31.71,2019,South Lanarkshire
S12000029,25.88,2013,South Lanarkshire
S12000029,28.63,2009,South Lanarkshire
S12000029,27.27,2014,South Lanarkshire
S12000029,28.33,2008,South Lanarkshire
S12000029,30.56,2017,South Lanarkshire
S12000029,28.78,2010,South Lanarkshire
S12000029,27.94,2012,South Lanarkshire
S12000029,30.62,2018,South Lanarkshire
S12000029,29.14,2007,South Lanarkshire
S12000029,26.18,2015,South Lanarkshire
S12000029,26.73,2016,South Lanarkshire
S12000029,27.81,2011,South Lanarkshire
S12000029,29.36,2006,South Lanarkshire
S12000029,29.57,2005,South Lanarkshire
S12000029,30.62,2004,South Lanarkshire
S12000029,30.77,2003,South Lanarkshire
S12000030,43.97,2007,Stirling
S12000030,44.73,2003,Stirling
S12000030,48.07,2009,Stirling
S12000030,42.48,2004,Stirling
S12000030,42.17,2010,Stirling
S12000030,43.31,2013,Stirling
S12000030,42.99,2015,Stirling
S12000030,41.06,2014,Stirling
S12000030,48.26,2017,Stirling
S12000030,47.73,2008,Stirling
S12000030,42.93,2012,Stirling
S12000030,49.28,2019,Stirling
S12000030,50.53,2018,Stirling
S12000030,43.43,2016,Stirling
S12000030,42.96,2011,Stirling
S12000030,43.98,2005,Stirling
S12000030,45.73,2006,Stirling
S12000033,52.44,2014,Aberdeen City
S12000033,54.64,2019,Aberdeen City
S12000033,49.67,2011,Aberdeen City
S12000033,55.1,2017,Aberdeen City
S12000033,46.94,2012,Aberdeen City
S12000033,54.12,2018,Aberdeen City
S12000033,49.29,2013,Aberdeen City
S12000033,51.33,2015,Aberdeen City
S12000033,51.04,2016,Aberdeen City
S12000034,45,2011,Aberdeenshire
S12000034,45.66,2015,Aberdeenshire
S12000034,47.59,2016,Aberdeenshire
S12000034,48.27,2017,Aberdeenshire
S12000034,49.94,2018,Aberdeenshire
S12000034,49.54,2019,Aberdeenshire
S12000034,43.78,2013,Aberdeenshire
S12000034,45.57,2014,Aberdeenshire
S12000034,44.97,2012,Aberdeenshire
S12000035,46.1,2006,Argyll and Bute
S12000035,43,2003,Argyll and Bute
S12000035,43.33,2004,Argyll and Bute
S12000035,43.15,2017,Argyll and Bute
S12000035,38.8,2011,Argyll and Bute
S12000035,42.03,2018,Argyll and Bute
S12000035,41.57,2008,Argyll and Bute
S12000035,39.92,2009,Argyll and Bute
S12000035,38.86,2012,Argyll and Bute
S12000035,40.39,2016,Argyll and Bute
S12000035,39.53,2010,Argyll and Bute
S12000035,39.88,2013,Argyll and Bute
S12000035,39.27,2015,Argyll and Bute
S12000035,44.62,2019,Argyll and Bute
S12000035,43.04,2005,Argyll and Bute
S12000035,38.65,2007,Argyll and Bute
S12000035,39.56,2014,Argyll and Bute
S12000036,62.08,2015,City of Edinburgh
S12000036,58.29,2013,City of Edinburgh
S12000036,56.26,2006,City of Edinburgh
S12000036,56.34,2005,City of Edinburgh
S12000036,59.24,2010,City of Edinburgh
S12000036,54.25,2004,City of Edinburgh
S12000036,57.64,2009,City of Edinburgh
S12000036,62.12,2016,City of Edinburgh
S12000036,59.32,2011,City of Edinburgh
S12000036,65.68,2018,City of Edinburgh
