feature_code,date_code,measurement,units,value,scottish_health_survey_indicator,sex,hb_name
S92000003,2016-2019,Percent,Percent Of Adults,85,"Provide any regular help or care for any sick, disabled or frail person: No",All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,4,Summary activity levels: Low activity,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,84,Doctor-diagnosed asthma: No,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,59,Alcohol consumption: Moderate drinker,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,35,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,83,Doctor-diagnosed asthma: No,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,12,Summary activity levels: Some activity,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,35,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,11,Summary activity levels: Some activity,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,34,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,24,Alcohol consumption: Hazardous/Harmful drinker,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,83,"Provide any regular help or care for any sick, disabled or frail person: No",Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,9,Self-assessed general health: Bad/Very bad,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,11,Fruit & vegetable consumption: None,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,34,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,19,Smoking status: Current smoker,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,20,Smoking status: Current smoker,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,5,Summary activity levels: Low activity,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,23,Summary activity levels: Very low activity,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,17,"Provide any regular help or care for any sick, disabled or frail person: Yes",Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,29,Obesity: Obese,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,23,Summary activity levels: Very low activity,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,68,Fruit & vegetable consumption: Less than 5 portions,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,15,"Provide any regular help or care for any sick, disabled or frail person: Yes",All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,29,Obesity: Obese,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,21,Summary activity levels: Very low activity,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,60,Smoking status: Never smoked/Used to smoke occasionally,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,83,E-cigarette use: Never used,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,25,General health questionnaire (GHQ-12): Score 1-3,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,21,Summary activity levels: Very low activity,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,59,Smoking status: Never smoked/Used to smoke occasionally,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,16,Alcohol consumption: Non-drinker,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,59,Alcohol consumption: Moderate drinker,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,11,E-cigarette use: Ever previously used,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,16,Alcohol consumption: Non-drinker,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,11,Summary activity levels: Some activity,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,16,Any cardiovascular condition: Has a cardiovascular condition,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,71,Obesity: Not obese,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,22,Fruit & vegetable consumption: 5 portions or more,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,85,Any cardiovascular condition: No cardiovascular condition,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,25,General health questionnaire (GHQ-12): Score 1-3,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,25,Alcohol consumption: Hazardous/Harmful drinker,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,17,Doctor-diagnosed asthma: Yes,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,16,Doctor-diagnosed asthma: Yes,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,83,E-cigarette use: Never used,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,71,Obesity: Not obese,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,10,E-cigarette use: Ever previously used,Female,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,85,Any cardiovascular condition: No cardiovascular condition,Female,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,84,Any cardiovascular condition: No cardiovascular condition,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,64,Summary activity levels: Meets recommendations,All,Scotland
S92000003,2016-2019,Percent,Percent Of Adults,65,Summary activity levels: Meets recommendations,All,Scotland
S92000003,2015-2018,Percent,Percent Of Adults,19,Self-assessed general health: Fair,Female,Scotland
